Entity,Code,Day,Moderna,Oxford/AstraZeneca,Pfizer/BioNTech,Sinovac,Johnson&Johnson
Chile,CHL,2021-04-03,0,0,1085113,9721328,0
Chile,CHL,2021-04-04,0,0,1085113,9722440,0
Chile,CHL,2021-04-05,0,0,1116180,9975672,0
Chile,CHL,2021-04-06,0,0,1198850,10132428,0
Chile,CHL,2021-04-07,0,0,1288001,10276214,0
Chile,CHL,2021-04-08,0,0,1366131,10437234,0
Chile,CHL,2021-04-09,0,0,1415205,10606625,0
Chile,CHL,2021-04-10,0,0,1422925,10624787,0
Chile,CHL,2021-04-11,0,0,1423430,10626732,0
Chile,CHL,2021-04-12,0,0,1488116,10798571,0
Chile,CHL,2021-04-13,0,0,1576177,10945217,0
Chile,CHL,2021-04-14,0,0,1665540,11084857,0
Chile,CHL,2021-04-15,0,0,1733333,11223692,0
Chile,CHL,2021-04-16,0,0,1783943,11366744,0
Chile,CHL,2021-04-17,0,0,1789866,11383126,0
Chile,CHL,2021-04-18,0,0,1790540,11385083,0
Chile,CHL,2021-04-19,0,0,1814581,11555531,0
Chile,CHL,2021-04-20,0,0,1858785,11699978,0
Chile,CHL,2021-04-21,0,0,1904794,11830838,0
Chile,CHL,2021-04-22,0,0,1951502,11983743,0
Chile,CHL,2021-04-23,0,0,1980449,12137812,0
Chile,CHL,2021-04-24,0,0,1982839,12153050,0
Chile,CHL,2021-04-25,0,0,1982840,12154081,0
Chile,CHL,2021-04-26,0,0,2028115,12304566,0
Chile,CHL,2021-04-27,0,0,2090093,12406713,0
Czechia,CZE,2020-12-27,0,0,1250,0,0
Czechia,CZE,2020-12-28,0,0,3545,0,0
Czechia,CZE,2020-12-29,0,0,6989,0,0
Czechia,CZE,2020-12-30,0,0,10463,0,0
Czechia,CZE,2020-12-31,0,0,11769,0,0
Czechia,CZE,2021-01-01,0,0,12029,0,0
Czechia,CZE,2021-01-02,0,0,13295,0,0
Czechia,CZE,2021-01-03,0,0,14209,0,0
Czechia,CZE,2021-01-04,0,0,17774,0,0
Czechia,CZE,2021-01-05,0,0,22268,0,0
Czechia,CZE,2021-01-06,0,0,28084,0,0
Czechia,CZE,2021-01-07,0,0,36022,0,0
Czechia,CZE,2021-01-08,0,0,45946,0,0
Czechia,CZE,2021-01-09,0,0,47957,0,0
Czechia,CZE,2021-01-10,0,0,49681,0,0
Czechia,CZE,2021-01-11,0,0,59464,0,0
Czechia,CZE,2021-01-12,0,0,72814,0,0
Czechia,CZE,2021-01-13,0,0,86281,0,0
Czechia,CZE,2021-01-14,1224,0,100214,0,0
Czechia,CZE,2021-01-15,1980,0,113376,0,0
Czechia,CZE,2021-01-16,2307,0,116422,0,0
Czechia,CZE,2021-01-17,2396,0,119559,0,0
Czechia,CZE,2021-01-18,2573,0,133561,0,0
Czechia,CZE,2021-01-19,3347,0,147985,0,0
Czechia,CZE,2021-01-20,4923,0,162569,0,0
Czechia,CZE,2021-01-21,5879,0,178869,0,0
Czechia,CZE,2021-01-22,6074,0,194436,0,0
Czechia,CZE,2021-01-23,6114,0,198534,0,0
Czechia,CZE,2021-01-24,6238,0,201513,0,0
Czechia,CZE,2021-01-25,6435,0,213855,0,0
Czechia,CZE,2021-01-26,6708,0,228029,0,0
