Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,163312429,2092.056492395339,4614353,59.11054786806161,515104,3386825,43.3857317121702,85903,1.1004301997506691,11014,
United States of America,Americas,32623220,9855.88,218837,66.11,17984,580468,175.37,4024,1.22,302,Community transmission
India,South-East Asia,25228996,1828.18,2236479,162.06,263533,278719,20.2,28727,2.08,4329,Clusters of cases
Brazil,Americas,15627475,7352.05,442685,208.26,40941,435751,205,13411,6.31,1036,Community transmission
France,Europe,5785850,8895.92,97415,149.78,2970,107042,164.58,1093,1.68,195,Community transmission
Turkey,Europe,5127548,6079.68,82612,97.95,10174,44983,53.34,1672,1.98,223,Community transmission
Russian Federation,Europe,4957756,3397.25,60914,41.74,8183,116575,79.88,2599,1.78,364,Clusters of cases
The United Kingdom,Europe,4452760,6559.17,15539,22.89,1979,127684,188.09,75,0.11,5,Community transmission
Italy,Europe,4162576,6979.33,46289,77.61,3454,124296,208.41,1265,2.12,140,Clusters of cases
Spain,Europe,3615860,7639.26,30627,64.71,1130,79432,167.82,171,0.36,7,Community transmission
Germany,Europe,3603055,4332.33,69679,83.78,4209,86381,103.86,1269,1.53,221,Community transmission
Argentina,Americas,3307285,7317.69,159545,353.01,16350,70522,156.04,3197,7.07,269,Community transmission
Colombia,Americas,3118426,6128.63,115668,227.32,15093,81300,159.78,3446,6.77,520,Community transmission
Poland,Europe,2856924,7526.51,18744,49.38,1734,71920,189.47,1584,4.17,245,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2765485,3292.52,92266,109.85,14319,77222,91.94,1961,2.33,286,Community transmission
Mexico,Americas,2381923,1847.41,16131,12.51,1233,220437,170.97,1452,1.13,53,Community transmission
Ukraine,Europe,2160095,4939.19,35560,81.31,4095,48469,110.83,1838,4.2,285,Community transmission
Peru,Americas,1889052,5729.29,38762,117.56,4456,66220,200.84,2117,6.42,309,Community transmission
Indonesia,South-East Asia,1744045,637.62,25470,9.31,4295,48305,17.66,1087,0.4,212,Community transmission
Czechia,Europe,1654219,15468.75,7238,67.68,1120,29933,279.91,184,1.72,20,Community transmission
South Africa,Africa,1615485,2723.86,17761,29.95,1757,55260,93.17,435,0.73,50,Community transmission
Netherlands,Europe,1600993,9197.1,35330,202.96,2904,17456,100.28,117,0.67,7,Community transmission
Canada,Americas,1328582,3520.15,41916,111.06,4901,24948,66.1,322,0.85,40,Community transmission
Chile,Americas,1292096,6759.17,39288,205.52,5548,27934,146.13,616,3.22,102,Community transmission
